id,module,category,service_or_domain,pillar,workstream,feature,user_story,implementation_detail,backend_scope,frontend_scope,data_model,deterministic_scope,agentic_scope,interaction_model,cost_opportunity,risk_controls,acceptance_criteria,priority,dependency,source_status
05-POSTGRES-00001,Postgres,Postgres Domain,pg_stat_activity,cost,inventory,Inventory and dependency graph: pg_stat_activity / cost,"As an operator, I can understand and act on pg_stat_activity cost posture without leaving Mayyam.","Discover pg_stat_activity, relationships, ownership, labels, versions, and runtime dependencies for the cost pillar.","Add collector, normalized model, repository methods, and freshness tracking for pg_stat_activity.","Add list/detail views, dependency graph, filters, and export for pg_stat_activity.","pg-stat-activity_cost_inventory evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for pg_stat_activity cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for pg_stat_activity; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for pg_stat_activity.","Identify savings opportunities for pg_stat_activity, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for pg_stat_activity.","Given pg_stat_activity data exists, when the cost inventory workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"pg_stat_activity connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",partial-foundation
05-POSTGRES-00002,Postgres,Postgres Domain,pg_stat_activity,cost,health,Health and anomaly detection: pg_stat_activity / cost,"As an operator, I can understand and act on pg_stat_activity cost posture without leaving Mayyam.","Detect pg_stat_activity symptoms, thresholds, anomalies, and correlated events that affect cost.","Add deterministic evaluators, metrics ingestion, and explainable findings for pg_stat_activity.","Add health badges, charts, timelines, and affected-object drilldowns for pg_stat_activity.","pg-stat-activity_cost_health evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for pg_stat_activity cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for pg_stat_activity; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for pg_stat_activity.","Identify savings opportunities for pg_stat_activity, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for pg_stat_activity.","Given pg_stat_activity data exists, when the cost health workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"pg_stat_activity connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",partial-foundation
05-POSTGRES-00003,Postgres,Postgres Domain,pg_stat_activity,cost,operations,Operator workflow: pg_stat_activity / cost,"As an operator, I can understand and act on pg_stat_activity cost posture without leaving Mayyam.","Support read, validate, mutate, rollback, and audit workflows for pg_stat_activity with cost guardrails.","Add validated commands, dry-run support, RBAC checks, and audit records for pg_stat_activity.","Add action menu, confirmations, diff previews, and result status for pg_stat_activity.","pg-stat-activity_cost_operations evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for pg_stat_activity cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for pg_stat_activity; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for pg_stat_activity.","Identify savings opportunities for pg_stat_activity, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for pg_stat_activity.","Given pg_stat_activity data exists, when the cost operations workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"pg_stat_activity connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",partial-foundation
05-POSTGRES-00004,Postgres,Postgres Domain,pg_stat_activity,cost,ai-triage,AI assisted triage: pg_stat_activity / cost,"As an operator, I can understand and act on pg_stat_activity cost posture without leaving Mayyam.","Summarize pg_stat_activity evidence, likely causes, confidence, uncertainty, and next diagnostic commands for cost issues.","Add context builder, prompt template, evidence citations, and LLM safety constraints for pg_stat_activity.","Add triage panel, follow-up prompts, saved notes, and feedback loop for pg_stat_activity.","pg-stat-activity_cost_ai-triage evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for pg_stat_activity cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for pg_stat_activity; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for pg_stat_activity.","Identify savings opportunities for pg_stat_activity, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for pg_stat_activity.","Given pg_stat_activity data exists, when the cost ai-triage workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"pg_stat_activity connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",partial-foundation
05-POSTGRES-00005,Postgres,Postgres Domain,pg_stat_activity,cost,agentic-investigation,Bounded agentic investigation: pg_stat_activity / cost,"As an operator, I can understand and act on pg_stat_activity cost posture without leaving Mayyam.","Let an agent investigate pg_stat_activity cost issues with bounded tool use, read-only diagnostics first, explicit uncertainty, and approval-gated mutations.","Add tool registry, planner, execution trace, read-only default policy, token/time budgets, rollback plan schema, and stop conditions for pg_stat_activity.","Add investigation timeline, tool-call evidence, confidence labels, approval prompts, replay, and promote-to-runbook actions for pg_stat_activity.","pg-stat-activity_cost_agentic-investigation evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for pg_stat_activity cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for pg_stat_activity; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for pg_stat_activity.","Identify savings opportunities for pg_stat_activity, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for pg_stat_activity.","Given pg_stat_activity data exists, when the cost agentic-investigation workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"pg_stat_activity connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",partial-foundation
05-POSTGRES-00006,Postgres,Postgres Domain,pg_stat_activity,cost,automation,Automation and runbooks: pg_stat_activity / cost,"As an operator, I can understand and act on pg_stat_activity cost posture without leaving Mayyam.",Create repeatable runbooks and scheduled checks for pg_stat_activity cost posture.,"Add runbook schema, scheduler hooks, history, and notification events for pg_stat_activity.","Add runbook editor, schedule controls, history table, and owner assignment for pg_stat_activity.","pg-stat-activity_cost_automation evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for pg_stat_activity cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for pg_stat_activity; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for pg_stat_activity.","Identify savings opportunities for pg_stat_activity, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for pg_stat_activity.","Given pg_stat_activity data exists, when the cost automation workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"pg_stat_activity connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",partial-foundation
05-POSTGRES-00007,Postgres,Postgres Domain,pg_stat_activity,cost,tests,Regression coverage: pg_stat_activity / cost,"As an operator, I can understand and act on pg_stat_activity cost posture without leaving Mayyam.","Protect pg_stat_activity cost behavior with unit, integration, fixture, and UI tests.","Add fixtures, fake clients, unit tests, and API contract tests for pg_stat_activity.",Add component and e2e tests for pg_stat_activity critical flows.,"pg-stat-activity_cost_tests evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for pg_stat_activity cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for pg_stat_activity; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for pg_stat_activity.","Identify savings opportunities for pg_stat_activity, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for pg_stat_activity.","Given pg_stat_activity data exists, when the cost tests workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"pg_stat_activity connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",partial-foundation
05-POSTGRES-00008,Postgres,Postgres Domain,pg_stat_activity,resilience,inventory,Inventory and dependency graph: pg_stat_activity / resilience,"As an operator, I can understand and act on pg_stat_activity resilience posture without leaving Mayyam.","Discover pg_stat_activity, relationships, ownership, labels, versions, and runtime dependencies for the resilience pillar.","Add collector, normalized model, repository methods, and freshness tracking for pg_stat_activity.","Add list/detail views, dependency graph, filters, and export for pg_stat_activity.","pg-stat-activity_resilience_inventory evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for pg_stat_activity resilience that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for pg_stat_activity; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for pg_stat_activity.",Record any cost side effect for pg_stat_activity recommendations so non-cost changes do not create hidden spend regressions.,"Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for pg_stat_activity.","Given pg_stat_activity data exists, when the resilience inventory workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"pg_stat_activity connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",partial-foundation
05-POSTGRES-00009,Postgres,Postgres Domain,pg_stat_activity,resilience,health,Health and anomaly detection: pg_stat_activity / resilience,"As an operator, I can understand and act on pg_stat_activity resilience posture without leaving Mayyam.","Detect pg_stat_activity symptoms, thresholds, anomalies, and correlated events that affect resilience.","Add deterministic evaluators, metrics ingestion, and explainable findings for pg_stat_activity.","Add health badges, charts, timelines, and affected-object drilldowns for pg_stat_activity.","pg-stat-activity_resilience_health evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for pg_stat_activity resilience that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for pg_stat_activity; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for pg_stat_activity.",Record any cost side effect for pg_stat_activity recommendations so non-cost changes do not create hidden spend regressions.,"Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for pg_stat_activity.","Given pg_stat_activity data exists, when the resilience health workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"pg_stat_activity connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",partial-foundation
05-POSTGRES-00010,Postgres,Postgres Domain,pg_stat_activity,resilience,operations,Operator workflow: pg_stat_activity / resilience,"As an operator, I can understand and act on pg_stat_activity resilience posture without leaving Mayyam.","Support read, validate, mutate, rollback, and audit workflows for pg_stat_activity with resilience guardrails.","Add validated commands, dry-run support, RBAC checks, and audit records for pg_stat_activity.","Add action menu, confirmations, diff previews, and result status for pg_stat_activity.","pg-stat-activity_resilience_operations evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for pg_stat_activity resilience that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for pg_stat_activity; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for pg_stat_activity.",Record any cost side effect for pg_stat_activity recommendations so non-cost changes do not create hidden spend regressions.,"Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for pg_stat_activity.","Given pg_stat_activity data exists, when the resilience operations workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"pg_stat_activity connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",partial-foundation
