id,module,category,service_or_domain,pillar,workstream,feature,release_phase,ship_size,user_story,ship_slice,implementation_detail,backend_scope,frontend_scope,api_contract,data_model,deterministic_scope,agentic_scope,interaction_model,cost_opportunity,risk_controls,telemetry_contract,test_plan,rollout_guardrail,docs_runbook,acceptance_criteria,priority,dependency,source_status
10-SERVICE-CATALOG-OWNERSHIP-00001,Service Catalog and Ownership,Service Record,service profile,cost,inventory,Inventory and dependency graph: service profile / cost,M1 inventory,S,"As an operator, I can understand and act on service profile cost posture without leaving Mayyam.","Ship as one vertical slice for service profile: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Discover service profile, relationships, ownership, labels, versions, and runtime dependencies for the cost pillar.","Add collector, normalized model, repository methods, and freshness tracking for service profile.","Add list/detail views, dependency graph, filters, and export for service profile.","Expose authenticated API endpoints for Service Catalog and Ownership service profile inventory with pagination, freshness metadata, audit IDs, error codes, and export support.","service-profile_cost_inventory evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for service profile cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for service profile; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for service profile.","Identify savings opportunities for service profile, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for service profile.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for service profile.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing service profile data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling service profile inventory broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for service profile.","Given service profile data exists, when the cost inventory workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"service profile connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
10-SERVICE-CATALOG-OWNERSHIP-00002,Service Catalog and Ownership,Service Record,service profile,cost,health,Health and anomaly detection: service profile / cost,M2 observable,M,"As an operator, I can understand and act on service profile cost posture without leaving Mayyam.","Ship as one vertical slice for service profile: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Detect service profile symptoms, thresholds, anomalies, and correlated events that affect cost.","Add deterministic evaluators, metrics ingestion, and explainable findings for service profile.","Add health badges, charts, timelines, and affected-object drilldowns for service profile.","Expose authenticated API endpoints for Service Catalog and Ownership service profile health with pagination, freshness metadata, audit IDs, error codes, and export support.","service-profile_cost_health evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for service profile cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for service profile; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for service profile.","Identify savings opportunities for service profile, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for service profile.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for service profile.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing service profile data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling service profile health broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for service profile.","Given service profile data exists, when the cost health workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"service profile connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
10-SERVICE-CATALOG-OWNERSHIP-00003,Service Catalog and Ownership,Service Record,service profile,cost,operations,Operator workflow: service profile / cost,M4 interactive,M,"As an operator, I can understand and act on service profile cost posture without leaving Mayyam.","Ship as one vertical slice for service profile: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Support read, validate, mutate, rollback, and audit workflows for service profile with cost guardrails.","Add validated commands, dry-run support, RBAC checks, and audit records for service profile.","Add action menu, confirmations, diff previews, and result status for service profile.","Expose authenticated API endpoints for Service Catalog and Ownership service profile operations with pagination, freshness metadata, audit IDs, error codes, and export support.","service-profile_cost_operations evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for service profile cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for service profile; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for service profile.","Identify savings opportunities for service profile, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for service profile.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for service profile.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing service profile data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling service profile operations broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for service profile.","Given service profile data exists, when the cost operations workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"service profile connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
10-SERVICE-CATALOG-OWNERSHIP-00004,Service Catalog and Ownership,Service Record,service profile,cost,ai-triage,AI assisted triage: service profile / cost,M3 explainable,M,"As an operator, I can understand and act on service profile cost posture without leaving Mayyam.","Ship as one vertical slice for service profile: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Summarize service profile evidence, likely causes, confidence, uncertainty, and next diagnostic commands for cost issues.","Add context builder, prompt template, evidence citations, and LLM safety constraints for service profile.","Add triage panel, follow-up prompts, saved notes, and feedback loop for service profile.","Expose authenticated API endpoints for Service Catalog and Ownership service profile ai-triage with pagination, freshness metadata, audit IDs, error codes, and export support.","service-profile_cost_ai-triage evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for service profile cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for service profile; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for service profile.","Identify savings opportunities for service profile, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for service profile.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for service profile.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing service profile data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling service profile ai-triage broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for service profile.","Given service profile data exists, when the cost ai-triage workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"service profile connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
10-SERVICE-CATALOG-OWNERSHIP-00005,Service Catalog and Ownership,Service Record,service profile,cost,agentic-investigation,Bounded agentic investigation: service profile / cost,M5 autonomous-assist,L,"As an operator, I can understand and act on service profile cost posture without leaving Mayyam.","Ship as one vertical slice for service profile: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Let an agent investigate service profile cost issues with bounded tool use, read-only diagnostics first, explicit uncertainty, and approval-gated mutations.","Add tool registry, planner, execution trace, read-only default policy, token/time budgets, rollback plan schema, and stop conditions for service profile.","Add investigation timeline, tool-call evidence, confidence labels, approval prompts, replay, and promote-to-runbook actions for service profile.","Expose authenticated API endpoints for Service Catalog and Ownership service profile agentic-investigation with pagination, freshness metadata, audit IDs, error codes, and export support.","service-profile_cost_agentic-investigation evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for service profile cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for service profile; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for service profile.","Identify savings opportunities for service profile, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for service profile.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for service profile.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing service profile data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling service profile agentic-investigation broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for service profile.","Given service profile data exists, when the cost agentic-investigation workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"service profile connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
10-SERVICE-CATALOG-OWNERSHIP-00006,Service Catalog and Ownership,Service Record,service profile,cost,automation,Automation and runbooks: service profile / cost,M4 interactive,M,"As an operator, I can understand and act on service profile cost posture without leaving Mayyam.","Ship as one vertical slice for service profile: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.",Create repeatable runbooks and scheduled checks for service profile cost posture.,"Add runbook schema, scheduler hooks, history, and notification events for service profile.","Add runbook editor, schedule controls, history table, and owner assignment for service profile.","Expose authenticated API endpoints for Service Catalog and Ownership service profile automation with pagination, freshness metadata, audit IDs, error codes, and export support.","service-profile_cost_automation evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for service profile cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for service profile; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for service profile.","Identify savings opportunities for service profile, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for service profile.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for service profile.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing service profile data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling service profile automation broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for service profile.","Given service profile data exists, when the cost automation workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"service profile connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
10-SERVICE-CATALOG-OWNERSHIP-00007,Service Catalog and Ownership,Service Record,service profile,cost,tests,Regression coverage: service profile / cost,M3 explainable,S,"As an operator, I can understand and act on service profile cost posture without leaving Mayyam.","Ship as one vertical slice for service profile: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Protect service profile cost behavior with unit, integration, fixture, and UI tests.","Add fixtures, fake clients, unit tests, and API contract tests for service profile.",Add component and e2e tests for service profile critical flows.,"Expose authenticated API endpoints for Service Catalog and Ownership service profile tests with pagination, freshness metadata, audit IDs, error codes, and export support.","service-profile_cost_tests evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for service profile cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for service profile; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for service profile.","Identify savings opportunities for service profile, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for service profile.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for service profile.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing service profile data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling service profile tests broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for service profile.","Given service profile data exists, when the cost tests workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"service profile connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
10-SERVICE-CATALOG-OWNERSHIP-00008,Service Catalog and Ownership,Service Record,service profile,resilience,inventory,Inventory and dependency graph: service profile / resilience,M1 inventory,S,"As an operator, I can understand and act on service profile resilience posture without leaving Mayyam.","Ship as one vertical slice for service profile: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Discover service profile, relationships, ownership, labels, versions, and runtime dependencies for the resilience pillar.","Add collector, normalized model, repository methods, and freshness tracking for service profile.","Add list/detail views, dependency graph, filters, and export for service profile.","Expose authenticated API endpoints for Service Catalog and Ownership service profile inventory with pagination, freshness metadata, audit IDs, error codes, and export support.","service-profile_resilience_inventory evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for service profile resilience that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for service profile; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for service profile.",Record any cost side effect for service profile recommendations so non-cost changes do not create hidden spend regressions.,"Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for service profile.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for service profile.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing service profile data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling service profile inventory broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for service profile.","Given service profile data exists, when the resilience inventory workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"service profile connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
10-SERVICE-CATALOG-OWNERSHIP-00009,Service Catalog and Ownership,Service Record,service profile,resilience,health,Health and anomaly detection: service profile / resilience,M2 observable,M,"As an operator, I can understand and act on service profile resilience posture without leaving Mayyam.","Ship as one vertical slice for service profile: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Detect service profile symptoms, thresholds, anomalies, and correlated events that affect resilience.","Add deterministic evaluators, metrics ingestion, and explainable findings for service profile.","Add health badges, charts, timelines, and affected-object drilldowns for service profile.","Expose authenticated API endpoints for Service Catalog and Ownership service profile health with pagination, freshness metadata, audit IDs, error codes, and export support.","service-profile_resilience_health evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for service profile resilience that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for service profile; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for service profile.",Record any cost side effect for service profile recommendations so non-cost changes do not create hidden spend regressions.,"Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for service profile.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for service profile.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing service profile data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling service profile health broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for service profile.","Given service profile data exists, when the resilience health workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"service profile connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
10-SERVICE-CATALOG-OWNERSHIP-00010,Service Catalog and Ownership,Service Record,service profile,resilience,operations,Operator workflow: service profile / resilience,M4 interactive,M,"As an operator, I can understand and act on service profile resilience posture without leaving Mayyam.","Ship as one vertical slice for service profile: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Support read, validate, mutate, rollback, and audit workflows for service profile with resilience guardrails.","Add validated commands, dry-run support, RBAC checks, and audit records for service profile.","Add action menu, confirmations, diff previews, and result status for service profile.","Expose authenticated API endpoints for Service Catalog and Ownership service profile operations with pagination, freshness metadata, audit IDs, error codes, and export support.","service-profile_resilience_operations evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for service profile resilience that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for service profile; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for service profile.",Record any cost side effect for service profile recommendations so non-cost changes do not create hidden spend regressions.,"Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for service profile.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for service profile.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing service profile data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling service profile operations broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for service profile.","Given service profile data exists, when the resilience operations workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"service profile connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
