id,module,category,service_or_domain,pillar,workstream,feature,release_phase,ship_size,user_story,ship_slice,implementation_detail,backend_scope,frontend_scope,api_contract,data_model,deterministic_scope,agentic_scope,interaction_model,cost_opportunity,risk_controls,telemetry_contract,test_plan,rollout_guardrail,docs_runbook,acceptance_criteria,priority,dependency,source_status
21-LEARNING-RUNBOOK-SYSTEM-00001,Learning and Runbook System,Capture,manual fix capture,cost,inventory,Inventory and dependency graph: manual fix capture / cost,M1 inventory,S,"As an operator, I can understand and act on manual fix capture cost posture without leaving Mayyam.","Ship as one vertical slice for manual fix capture: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Discover manual fix capture, relationships, ownership, labels, versions, and runtime dependencies for the cost pillar.","Add collector, normalized model, repository methods, and freshness tracking for manual fix capture.","Add list/detail views, dependency graph, filters, and export for manual fix capture.","Expose authenticated API endpoints for Learning and Runbook System manual fix capture inventory with pagination, freshness metadata, audit IDs, error codes, and export support.","manual-fix-capture_cost_inventory evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for manual fix capture cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for manual fix capture; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for manual fix capture.","Identify savings opportunities for manual fix capture, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for manual fix capture.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for manual fix capture.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing manual fix capture data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling manual fix capture inventory broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for manual fix capture.","Given manual fix capture data exists, when the cost inventory workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"manual fix capture connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
21-LEARNING-RUNBOOK-SYSTEM-00002,Learning and Runbook System,Capture,manual fix capture,cost,health,Health and anomaly detection: manual fix capture / cost,M2 observable,M,"As an operator, I can understand and act on manual fix capture cost posture without leaving Mayyam.","Ship as one vertical slice for manual fix capture: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Detect manual fix capture symptoms, thresholds, anomalies, and correlated events that affect cost.","Add deterministic evaluators, metrics ingestion, and explainable findings for manual fix capture.","Add health badges, charts, timelines, and affected-object drilldowns for manual fix capture.","Expose authenticated API endpoints for Learning and Runbook System manual fix capture health with pagination, freshness metadata, audit IDs, error codes, and export support.","manual-fix-capture_cost_health evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for manual fix capture cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for manual fix capture; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for manual fix capture.","Identify savings opportunities for manual fix capture, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for manual fix capture.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for manual fix capture.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing manual fix capture data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling manual fix capture health broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for manual fix capture.","Given manual fix capture data exists, when the cost health workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"manual fix capture connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
21-LEARNING-RUNBOOK-SYSTEM-00003,Learning and Runbook System,Capture,manual fix capture,cost,operations,Operator workflow: manual fix capture / cost,M4 interactive,M,"As an operator, I can understand and act on manual fix capture cost posture without leaving Mayyam.","Ship as one vertical slice for manual fix capture: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Support read, validate, mutate, rollback, and audit workflows for manual fix capture with cost guardrails.","Add validated commands, dry-run support, RBAC checks, and audit records for manual fix capture.","Add action menu, confirmations, diff previews, and result status for manual fix capture.","Expose authenticated API endpoints for Learning and Runbook System manual fix capture operations with pagination, freshness metadata, audit IDs, error codes, and export support.","manual-fix-capture_cost_operations evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for manual fix capture cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for manual fix capture; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for manual fix capture.","Identify savings opportunities for manual fix capture, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for manual fix capture.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for manual fix capture.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing manual fix capture data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling manual fix capture operations broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for manual fix capture.","Given manual fix capture data exists, when the cost operations workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"manual fix capture connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
21-LEARNING-RUNBOOK-SYSTEM-00004,Learning and Runbook System,Capture,manual fix capture,cost,ai-triage,AI assisted triage: manual fix capture / cost,M3 explainable,M,"As an operator, I can understand and act on manual fix capture cost posture without leaving Mayyam.","Ship as one vertical slice for manual fix capture: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Summarize manual fix capture evidence, likely causes, confidence, uncertainty, and next diagnostic commands for cost issues.","Add context builder, prompt template, evidence citations, and LLM safety constraints for manual fix capture.","Add triage panel, follow-up prompts, saved notes, and feedback loop for manual fix capture.","Expose authenticated API endpoints for Learning and Runbook System manual fix capture ai-triage with pagination, freshness metadata, audit IDs, error codes, and export support.","manual-fix-capture_cost_ai-triage evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for manual fix capture cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for manual fix capture; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for manual fix capture.","Identify savings opportunities for manual fix capture, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for manual fix capture.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for manual fix capture.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing manual fix capture data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling manual fix capture ai-triage broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for manual fix capture.","Given manual fix capture data exists, when the cost ai-triage workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"manual fix capture connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
21-LEARNING-RUNBOOK-SYSTEM-00005,Learning and Runbook System,Capture,manual fix capture,cost,agentic-investigation,Bounded agentic investigation: manual fix capture / cost,M5 autonomous-assist,L,"As an operator, I can understand and act on manual fix capture cost posture without leaving Mayyam.","Ship as one vertical slice for manual fix capture: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Let an agent investigate manual fix capture cost issues with bounded tool use, read-only diagnostics first, explicit uncertainty, and approval-gated mutations.","Add tool registry, planner, execution trace, read-only default policy, token/time budgets, rollback plan schema, and stop conditions for manual fix capture.","Add investigation timeline, tool-call evidence, confidence labels, approval prompts, replay, and promote-to-runbook actions for manual fix capture.","Expose authenticated API endpoints for Learning and Runbook System manual fix capture agentic-investigation with pagination, freshness metadata, audit IDs, error codes, and export support.","manual-fix-capture_cost_agentic-investigation evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for manual fix capture cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for manual fix capture; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for manual fix capture.","Identify savings opportunities for manual fix capture, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for manual fix capture.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for manual fix capture.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing manual fix capture data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling manual fix capture agentic-investigation broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for manual fix capture.","Given manual fix capture data exists, when the cost agentic-investigation workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"manual fix capture connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
21-LEARNING-RUNBOOK-SYSTEM-00006,Learning and Runbook System,Capture,manual fix capture,cost,automation,Automation and runbooks: manual fix capture / cost,M4 interactive,M,"As an operator, I can understand and act on manual fix capture cost posture without leaving Mayyam.","Ship as one vertical slice for manual fix capture: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.",Create repeatable runbooks and scheduled checks for manual fix capture cost posture.,"Add runbook schema, scheduler hooks, history, and notification events for manual fix capture.","Add runbook editor, schedule controls, history table, and owner assignment for manual fix capture.","Expose authenticated API endpoints for Learning and Runbook System manual fix capture automation with pagination, freshness metadata, audit IDs, error codes, and export support.","manual-fix-capture_cost_automation evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for manual fix capture cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for manual fix capture; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for manual fix capture.","Identify savings opportunities for manual fix capture, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for manual fix capture.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for manual fix capture.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing manual fix capture data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling manual fix capture automation broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for manual fix capture.","Given manual fix capture data exists, when the cost automation workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"manual fix capture connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
21-LEARNING-RUNBOOK-SYSTEM-00007,Learning and Runbook System,Capture,manual fix capture,cost,tests,Regression coverage: manual fix capture / cost,M3 explainable,S,"As an operator, I can understand and act on manual fix capture cost posture without leaving Mayyam.","Ship as one vertical slice for manual fix capture: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Protect manual fix capture cost behavior with unit, integration, fixture, and UI tests.","Add fixtures, fake clients, unit tests, and API contract tests for manual fix capture.",Add component and e2e tests for manual fix capture critical flows.,"Expose authenticated API endpoints for Learning and Runbook System manual fix capture tests with pagination, freshness metadata, audit IDs, error codes, and export support.","manual-fix-capture_cost_tests evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for manual fix capture cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for manual fix capture; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for manual fix capture.","Identify savings opportunities for manual fix capture, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for manual fix capture.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for manual fix capture.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing manual fix capture data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling manual fix capture tests broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for manual fix capture.","Given manual fix capture data exists, when the cost tests workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"manual fix capture connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
21-LEARNING-RUNBOOK-SYSTEM-00008,Learning and Runbook System,Capture,manual fix capture,resilience,inventory,Inventory and dependency graph: manual fix capture / resilience,M1 inventory,S,"As an operator, I can understand and act on manual fix capture resilience posture without leaving Mayyam.","Ship as one vertical slice for manual fix capture: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Discover manual fix capture, relationships, ownership, labels, versions, and runtime dependencies for the resilience pillar.","Add collector, normalized model, repository methods, and freshness tracking for manual fix capture.","Add list/detail views, dependency graph, filters, and export for manual fix capture.","Expose authenticated API endpoints for Learning and Runbook System manual fix capture inventory with pagination, freshness metadata, audit IDs, error codes, and export support.","manual-fix-capture_resilience_inventory evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for manual fix capture resilience that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for manual fix capture; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for manual fix capture.",Record any cost side effect for manual fix capture recommendations so non-cost changes do not create hidden spend regressions.,"Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for manual fix capture.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for manual fix capture.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing manual fix capture data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling manual fix capture inventory broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for manual fix capture.","Given manual fix capture data exists, when the resilience inventory workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"manual fix capture connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
21-LEARNING-RUNBOOK-SYSTEM-00009,Learning and Runbook System,Capture,manual fix capture,resilience,health,Health and anomaly detection: manual fix capture / resilience,M2 observable,M,"As an operator, I can understand and act on manual fix capture resilience posture without leaving Mayyam.","Ship as one vertical slice for manual fix capture: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Detect manual fix capture symptoms, thresholds, anomalies, and correlated events that affect resilience.","Add deterministic evaluators, metrics ingestion, and explainable findings for manual fix capture.","Add health badges, charts, timelines, and affected-object drilldowns for manual fix capture.","Expose authenticated API endpoints for Learning and Runbook System manual fix capture health with pagination, freshness metadata, audit IDs, error codes, and export support.","manual-fix-capture_resilience_health evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for manual fix capture resilience that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for manual fix capture; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for manual fix capture.",Record any cost side effect for manual fix capture recommendations so non-cost changes do not create hidden spend regressions.,"Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for manual fix capture.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for manual fix capture.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing manual fix capture data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling manual fix capture health broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for manual fix capture.","Given manual fix capture data exists, when the resilience health workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"manual fix capture connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
21-LEARNING-RUNBOOK-SYSTEM-00010,Learning and Runbook System,Capture,manual fix capture,resilience,operations,Operator workflow: manual fix capture / resilience,M4 interactive,M,"As an operator, I can understand and act on manual fix capture resilience posture without leaving Mayyam.","Ship as one vertical slice for manual fix capture: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Support read, validate, mutate, rollback, and audit workflows for manual fix capture with resilience guardrails.","Add validated commands, dry-run support, RBAC checks, and audit records for manual fix capture.","Add action menu, confirmations, diff previews, and result status for manual fix capture.","Expose authenticated API endpoints for Learning and Runbook System manual fix capture operations with pagination, freshness metadata, audit IDs, error codes, and export support.","manual-fix-capture_resilience_operations evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for manual fix capture resilience that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for manual fix capture; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for manual fix capture.",Record any cost side effect for manual fix capture recommendations so non-cost changes do not create hidden spend regressions.,"Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for manual fix capture.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for manual fix capture.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing manual fix capture data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling manual fix capture operations broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for manual fix capture.","Given manual fix capture data exists, when the resilience operations workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"manual fix capture connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
