id,module,category,service_or_domain,pillar,workstream,feature,release_phase,ship_size,user_story,ship_slice,implementation_detail,backend_scope,frontend_scope,api_contract,data_model,deterministic_scope,agentic_scope,interaction_model,cost_opportunity,risk_controls,telemetry_contract,test_plan,rollout_guardrail,docs_runbook,acceptance_criteria,priority,dependency,source_status
15-IAC-DRIFT-CHANGE-INTELLIGENCE-00001,IaC Drift and Change Intelligence,Sources,Terraform state,cost,inventory,Inventory and dependency graph: Terraform state / cost,M1 inventory,S,"As an operator, I can understand and act on Terraform state cost posture without leaving Mayyam.","Ship as one vertical slice for Terraform state: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Discover Terraform state, relationships, ownership, labels, versions, and runtime dependencies for the cost pillar.","Add collector, normalized model, repository methods, and freshness tracking for Terraform state.","Add list/detail views, dependency graph, filters, and export for Terraform state.","Expose authenticated API endpoints for IaC Drift and Change Intelligence Terraform state inventory with pagination, freshness metadata, audit IDs, error codes, and export support.","terraform-state_cost_inventory evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for Terraform state cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for Terraform state; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for Terraform state.","Identify savings opportunities for Terraform state, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for Terraform state.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for Terraform state.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing Terraform state data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling Terraform state inventory broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for Terraform state.","Given Terraform state data exists, when the cost inventory workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"Terraform state connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
15-IAC-DRIFT-CHANGE-INTELLIGENCE-00002,IaC Drift and Change Intelligence,Sources,Terraform state,cost,health,Health and anomaly detection: Terraform state / cost,M2 observable,M,"As an operator, I can understand and act on Terraform state cost posture without leaving Mayyam.","Ship as one vertical slice for Terraform state: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Detect Terraform state symptoms, thresholds, anomalies, and correlated events that affect cost.","Add deterministic evaluators, metrics ingestion, and explainable findings for Terraform state.","Add health badges, charts, timelines, and affected-object drilldowns for Terraform state.","Expose authenticated API endpoints for IaC Drift and Change Intelligence Terraform state health with pagination, freshness metadata, audit IDs, error codes, and export support.","terraform-state_cost_health evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for Terraform state cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for Terraform state; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for Terraform state.","Identify savings opportunities for Terraform state, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for Terraform state.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for Terraform state.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing Terraform state data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling Terraform state health broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for Terraform state.","Given Terraform state data exists, when the cost health workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"Terraform state connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
15-IAC-DRIFT-CHANGE-INTELLIGENCE-00003,IaC Drift and Change Intelligence,Sources,Terraform state,cost,operations,Operator workflow: Terraform state / cost,M4 interactive,M,"As an operator, I can understand and act on Terraform state cost posture without leaving Mayyam.","Ship as one vertical slice for Terraform state: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Support read, validate, mutate, rollback, and audit workflows for Terraform state with cost guardrails.","Add validated commands, dry-run support, RBAC checks, and audit records for Terraform state.","Add action menu, confirmations, diff previews, and result status for Terraform state.","Expose authenticated API endpoints for IaC Drift and Change Intelligence Terraform state operations with pagination, freshness metadata, audit IDs, error codes, and export support.","terraform-state_cost_operations evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for Terraform state cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for Terraform state; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for Terraform state.","Identify savings opportunities for Terraform state, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for Terraform state.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for Terraform state.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing Terraform state data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling Terraform state operations broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for Terraform state.","Given Terraform state data exists, when the cost operations workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"Terraform state connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
15-IAC-DRIFT-CHANGE-INTELLIGENCE-00004,IaC Drift and Change Intelligence,Sources,Terraform state,cost,ai-triage,AI assisted triage: Terraform state / cost,M3 explainable,M,"As an operator, I can understand and act on Terraform state cost posture without leaving Mayyam.","Ship as one vertical slice for Terraform state: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Summarize Terraform state evidence, likely causes, confidence, uncertainty, and next diagnostic commands for cost issues.","Add context builder, prompt template, evidence citations, and LLM safety constraints for Terraform state.","Add triage panel, follow-up prompts, saved notes, and feedback loop for Terraform state.","Expose authenticated API endpoints for IaC Drift and Change Intelligence Terraform state ai-triage with pagination, freshness metadata, audit IDs, error codes, and export support.","terraform-state_cost_ai-triage evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for Terraform state cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for Terraform state; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for Terraform state.","Identify savings opportunities for Terraform state, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for Terraform state.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for Terraform state.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing Terraform state data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling Terraform state ai-triage broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for Terraform state.","Given Terraform state data exists, when the cost ai-triage workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"Terraform state connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
15-IAC-DRIFT-CHANGE-INTELLIGENCE-00005,IaC Drift and Change Intelligence,Sources,Terraform state,cost,agentic-investigation,Bounded agentic investigation: Terraform state / cost,M5 autonomous-assist,L,"As an operator, I can understand and act on Terraform state cost posture without leaving Mayyam.","Ship as one vertical slice for Terraform state: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Let an agent investigate Terraform state cost issues with bounded tool use, read-only diagnostics first, explicit uncertainty, and approval-gated mutations.","Add tool registry, planner, execution trace, read-only default policy, token/time budgets, rollback plan schema, and stop conditions for Terraform state.","Add investigation timeline, tool-call evidence, confidence labels, approval prompts, replay, and promote-to-runbook actions for Terraform state.","Expose authenticated API endpoints for IaC Drift and Change Intelligence Terraform state agentic-investigation with pagination, freshness metadata, audit IDs, error codes, and export support.","terraform-state_cost_agentic-investigation evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for Terraform state cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for Terraform state; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for Terraform state.","Identify savings opportunities for Terraform state, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for Terraform state.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for Terraform state.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing Terraform state data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling Terraform state agentic-investigation broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for Terraform state.","Given Terraform state data exists, when the cost agentic-investigation workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"Terraform state connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
15-IAC-DRIFT-CHANGE-INTELLIGENCE-00006,IaC Drift and Change Intelligence,Sources,Terraform state,cost,automation,Automation and runbooks: Terraform state / cost,M4 interactive,M,"As an operator, I can understand and act on Terraform state cost posture without leaving Mayyam.","Ship as one vertical slice for Terraform state: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.",Create repeatable runbooks and scheduled checks for Terraform state cost posture.,"Add runbook schema, scheduler hooks, history, and notification events for Terraform state.","Add runbook editor, schedule controls, history table, and owner assignment for Terraform state.","Expose authenticated API endpoints for IaC Drift and Change Intelligence Terraform state automation with pagination, freshness metadata, audit IDs, error codes, and export support.","terraform-state_cost_automation evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for Terraform state cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for Terraform state; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for Terraform state.","Identify savings opportunities for Terraform state, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for Terraform state.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for Terraform state.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing Terraform state data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling Terraform state automation broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for Terraform state.","Given Terraform state data exists, when the cost automation workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"Terraform state connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
15-IAC-DRIFT-CHANGE-INTELLIGENCE-00007,IaC Drift and Change Intelligence,Sources,Terraform state,cost,tests,Regression coverage: Terraform state / cost,M3 explainable,S,"As an operator, I can understand and act on Terraform state cost posture without leaving Mayyam.","Ship as one vertical slice for Terraform state: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Protect Terraform state cost behavior with unit, integration, fixture, and UI tests.","Add fixtures, fake clients, unit tests, and API contract tests for Terraform state.",Add component and e2e tests for Terraform state critical flows.,"Expose authenticated API endpoints for IaC Drift and Change Intelligence Terraform state tests with pagination, freshness metadata, audit IDs, error codes, and export support.","terraform-state_cost_tests evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for Terraform state cost that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for Terraform state; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for Terraform state.","Identify savings opportunities for Terraform state, quantify estimated monthly impact, confidence, effort, risk, and verification steps.","Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for Terraform state.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for Terraform state.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing Terraform state data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling Terraform state tests broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for Terraform state.","Given Terraform state data exists, when the cost tests workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"Terraform state connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
15-IAC-DRIFT-CHANGE-INTELLIGENCE-00008,IaC Drift and Change Intelligence,Sources,Terraform state,resilience,inventory,Inventory and dependency graph: Terraform state / resilience,M1 inventory,S,"As an operator, I can understand and act on Terraform state resilience posture without leaving Mayyam.","Ship as one vertical slice for Terraform state: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Discover Terraform state, relationships, ownership, labels, versions, and runtime dependencies for the resilience pillar.","Add collector, normalized model, repository methods, and freshness tracking for Terraform state.","Add list/detail views, dependency graph, filters, and export for Terraform state.","Expose authenticated API endpoints for IaC Drift and Change Intelligence Terraform state inventory with pagination, freshness metadata, audit IDs, error codes, and export support.","terraform-state_resilience_inventory evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for Terraform state resilience that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for Terraform state; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for Terraform state.",Record any cost side effect for Terraform state recommendations so non-cost changes do not create hidden spend regressions.,"Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for Terraform state.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for Terraform state.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing Terraform state data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling Terraform state inventory broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for Terraform state.","Given Terraform state data exists, when the resilience inventory workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"Terraform state connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
15-IAC-DRIFT-CHANGE-INTELLIGENCE-00009,IaC Drift and Change Intelligence,Sources,Terraform state,resilience,health,Health and anomaly detection: Terraform state / resilience,M2 observable,M,"As an operator, I can understand and act on Terraform state resilience posture without leaving Mayyam.","Ship as one vertical slice for Terraform state: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Detect Terraform state symptoms, thresholds, anomalies, and correlated events that affect resilience.","Add deterministic evaluators, metrics ingestion, and explainable findings for Terraform state.","Add health badges, charts, timelines, and affected-object drilldowns for Terraform state.","Expose authenticated API endpoints for IaC Drift and Change Intelligence Terraform state health with pagination, freshness metadata, audit IDs, error codes, and export support.","terraform-state_resilience_health evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for Terraform state resilience that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for Terraform state; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for Terraform state.",Record any cost side effect for Terraform state recommendations so non-cost changes do not create hidden spend regressions.,"Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for Terraform state.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for Terraform state.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing Terraform state data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling Terraform state health broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for Terraform state.","Given Terraform state data exists, when the resilience health workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"Terraform state connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
15-IAC-DRIFT-CHANGE-INTELLIGENCE-00010,IaC Drift and Change Intelligence,Sources,Terraform state,resilience,operations,Operator workflow: Terraform state / resilience,M4 interactive,M,"As an operator, I can understand and act on Terraform state resilience posture without leaving Mayyam.","Ship as one vertical slice for Terraform state: data contract, collector or tool adapter, backend API, deterministic evaluator, UI surface, tests, documentation, and operator runbook.","Support read, validate, mutate, rollback, and audit workflows for Terraform state with resilience guardrails.","Add validated commands, dry-run support, RBAC checks, and audit records for Terraform state.","Add action menu, confirmations, diff previews, and result status for Terraform state.","Expose authenticated API endpoints for IaC Drift and Change Intelligence Terraform state operations with pagination, freshness metadata, audit IDs, error codes, and export support.","terraform-state_resilience_operations evidence, score, finding, recommendation, owner, suppression, audit event","Implement deterministic checks for Terraform state resilience that can run without an LLM, emit reason codes, and preserve raw evidence.","Allow agentic investigation only through registered tools for Terraform state; read-only diagnostics are default, mutations require explicit approval, and every tool call is replayable.","Support inspect, compare, diagnose, dry-run, approve, execute, rollback-note, audit, and export workflows for Terraform state.",Record any cost side effect for Terraform state recommendations so non-cost changes do not create hidden spend regressions.,"Require RBAC, scoped credentials, rate limits, stale-data detection, blast-radius summary, suppression policy, and rollback or recovery notes for Terraform state.","Emit collection duration, freshness age, success/failure counts, rule evaluation count, AI/tool-call count when applicable, and user action audit metrics for Terraform state.","Add unit tests for evaluator logic, fixture tests for collected evidence, API contract tests, UI render/action tests, and one failure-path test for stale or missing Terraform state data.","Gate behind a feature flag, support read-only mode first, document required permissions, and add rollback or disable instructions before enabling Terraform state operations broadly.","Document prerequisites, permissions, setup, known limits, common failure modes, triage commands, remediation approval path, and verification checks for Terraform state.","Given Terraform state data exists, when the resilience operations workflow runs, then Mayyam stores evidence, shows status, explains gaps, and exposes API/UI tests for the happy path and one failure path.",P0,"Terraform state connector credentials, normalized resource identity, sync-run freshness, RBAC, audit logging",planned-gap
